"Fig.4A Quantitative distribution of the pmoA, nirS and nirK genes in eighteen fractions from each CsCl gradient on day 40.",,,,,,,,
ID,Soil type,Treatment,Replicate,Fraction,Buoyant density,pmoA gene copies,nirS gene copies,nirK gene copies
265,Yellow soil,12C,3,13,"1,70852 ","6,87E+06","9,33E+05","6,24E+04"
266,Yellow soil,12C,3,14,"1,70628 ","6,00E+06","2,40E+05","3,81E+04"
267,Yellow soil,12C,3,15,"1,70292 ","1,56E+06","6,27E+04","2,06E+04"
268,Yellow soil,12C,3,16,"1,70068 ","5,55E+05","2,10E+04","7,29E+03"
269,Yellow soil,12C,3,17,"1,69956 ","1,30E+05","1,78E+04","3,97E+03"
270,Yellow soil,12C,3,18,"1,69620 ","1,50E+05","5,72E+04","3,52E+03"
271,Yellow soil,13C,1,1,"1,73541 ","3,62E-03","1,37E+05","2,47E+03"
272,Yellow soil,13C,1,2,"1,73429 ","5,45E-03","1,05E+05","5,33E+03"
273,Yellow soil,13C,1,3,"1,73317 ","1,13E-01","8,10E+05","1,97E+04"
274,Yellow soil,13C,1,4,"1,73093 ","1,60E-01","5,03E+05","1,87E+04"
275,Yellow soil,13C,1,5,"1,72868 ","1,45E-01","3,31E+05","1,06E+04"
276,Yellow soil,13C,1,6,"1,72532 ","2,07E-01","2,91E+05","9,40E+03"
277,Yellow soil,13C,1,7,"1,72308 ","1,47E-01","2,65E+05","7,30E+03"
278,Yellow soil,13C,1,8,"1,71860 ","5,94E-02","5,83E+05","1,51E+04"
279,Yellow soil,13C,1,9,"1,71636 ","2,73E-02","1,12E+06","9,79E+03"
280,Yellow soil,13C,1,10,"1,71300 ","2,69E-02","1,33E+06","5,50E+04"
281,Yellow soil,13C,1,11,"1,70964 ","4,12E-02","8,90E+05","6,21E+04"
282,Yellow soil,13C,1,12,"1,70628 ","2,73E-02","2,35E+05","2,61E+04"
283,Yellow soil,13C,1,13,"1,70292 ","1,70E-02","9,07E+04","9,63E+03"
284,Yellow soil,13C,1,14,"1,69956 ","1,13E-02","3,49E+04","3,11E+03"
285,Yellow soil,13C,1,15,"1,69620 ","4,31E-03","8,98E+03","1,17E+03"
286,Yellow soil,13C,1,16,"1,69396 ","1,46E-03","9,47E+03","3,29E+02"
287,Yellow soil,13C,1,17,"1,69172 ","1,89E-03","1,55E+04","8,45E+02"
288,Yellow soil,13C,1,18,"1,68500 ","5,21E-03","2,01E+04","4,20E+03"
289,Yellow soil,13C,2,1,"1,73541 ","1,66E-02","6,42E+05","7,07E+03"
290,Yellow soil,13C,2,2,"1,73429 ","3,13E-02","1,12E+06","1,17E+04"
291,Yellow soil,13C,2,3,"1,73317 ","1,22E-01","2,82E+06","2,30E+04"
292,Yellow soil,13C,2,4,"1,73093 ","1,29E-01","9,26E+05","2,15E+04"
293,Yellow soil,13C,2,5,"1,72756 ","1,43E-01","3,72E+05","1,19E+04"
294,Yellow soil,13C,2,6,"1,72420 ","2,35E-01","1,87E+05","8,87E+03"
295,Yellow soil,13C,2,7,"1,72084 ","1,21E-01","2,53E+05","6,35E+03"
